iter	Passed	Remaining
697	8836	3823
698	8850	3811
699	8865	3799
700	8879	3787
701	8892	3775
702	8906	3762
703	8920	3750
704	8934	3738
705	8949	3726
706	8964	3714
707	8977	3702
708	8991	3690
709	9004	3678
710	9018	3665
711	9033	3653
712	9048	3642
713	9062	3630
714	9077	3618
715	9090	3605
716	9103	3593
717	9117	3581
718	9132	3569
719	9146	3556
720	9160	3544
721	9174	3532
722	9187	3519
723	9200	3507
724	9214	3495
725	9228	3483
726	9243	3470
727	9257	3458
728	9270	3446
729	9282	3433
730	9296	3421
731	9311	3409
732	9325	3396
733	9338	3384
734	9352	3371
735	9366	3359
736	9383	3348
737	9398	3336
738	9413	3324
739	9428	3312
740	9443	3300
741	9458	3288
742	9472	3276
743	9485	3263
744	9499	3251
745	9513	3239
746	9528	3227
747	9544	3215
748	9560	3203
749	9575	3191
750	9590	3179
751	9604	3167
752	9617	3154
753	9632	3142
754	9647	3130
755	9661	3118
756	9677	3106
757	9691	3094
758	9705	3081
759	9719	3069
760	9731	3056
761	9745	3043
762	9760	3031
763	9774	3019
764	9788	3006
765	9801	2994
766	9813	2981
767	9827	2968
768	9842	2956
769	9855	2943
770	9869	2931
771	9882	2918
772	9895	2905
773	9909	2893
774	9923	2880
775	9937	2868
776	9950	2855
777	9963	2843
778	9976	2830
779	9990	2817
780	10004	2805
781	10017	2792
782	10030	2779
783	10043	2767
784	10057	2754
785	10072	2742
786	10087	2730
787	10101	2717
788	10115	2705
789	10129	2692
790	10143	2680
791	10156	2667
792	10169	2654
793	10182	2641
794	10194	2628
795	10208	2616
796	10222	2603
797	10235	2590
798	10249	2578
799	10260	2565
800	10273	2552
801	10287	2539
802	10301	2527
803	10314	2514
804	10327	2501
805	10341	2489
806	10354	2476
807	10369	2463
808	10382	2451
809	10396	2438
810	10409	2425
811	10422	2413
812	10437	2400
813	10450	2388
814	10462	2375
815	10474	2361
816	10488	2349
817	10502	2336
818	10516	2324
819	10529	2311
820	10541	2298
821	10554	2285
822	10567	2272
823	10579	2259
824	10592	2246
825	10605	2234
826	10619	2221
827	10633	2208
828	10647	2196
829	10659	2183
830	10671	2170
831	10685	2157
832	10698	2144
833	10711	2132
834	10724	2119
835	10739	2106
836	10752	2093
837	10765	2081
838	10778	2068
839	10792	2055
840	10803	2042
841	10817	2029
842	10831	2017
843	10844	2004
844	10857	1991
845	10869	1978
846	10883	1965
847	10896	1953
848	10909	1940
849	10921	1927
850	10935	1914
851	10949	1901
852	10961	1889
853	10974	1876
854	10986	1863
855	11000	1850
856	11013	1837
857	11027	1825
858	11039	1812
859	11052	1799
860	11065	1786
861	11078	1773
862	11091	1760
863	11104	1747
864	11117	1735
865	11131	1722
866	11145	1709
867	11157	1696
868	11169	1683
869	11183	1671
870	11196	1658
871	11209	1645
872	11222	1632
873	11236	1619
874	11248	1606
875	11261	1594
876	11274	1581
877	11286	1568
878	11300	1555
879	11314	1542
880	11327	1530
881	11341	1517
882	11354	1504
883	11368	1491
884	11382	1479
885	11395	1466
886	11409	1453
887	11421	1440
888	11434	1427
889	11447	1414
890	11461	1402
891	11474	1389
892	11487	1376
893	11500	1363
894	11515	1350
895	11529	1338
896	11541	1325
897	11555	1312
898	11569	1299
899	11582	1286
900	11597	1274
901	11610	1261
