Name,Price,Week,Month,Year,Season
Green_Chillies_LCVEG_1kg,475.0,1,8,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,134.05,1,8,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,138.89,1,8,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,204.21,1,8,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,492.11,2,8,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,134.44,2,8,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,139.49,2,8,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,196.92,2,8,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,497.44,3,8,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,133.83,3,8,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,136.22,3,8,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,172.31,3,8,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,465.63,4,8,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,131.49,4,8,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,135.76,4,8,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,159.68,4,8,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,460.61,1,9,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,141.21,1,9,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,133.33,1,9,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,144.12,1,9,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,446.15,2,9,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,150.8,2,9,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,141.14,2,9,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,143.5,2,9,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,450.0,3,9,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,153.3,3,9,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,142.16,3,9,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,146.5,3,9,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,441.67,4,9,2017,South-West Monsoon Season
Leeks_UPCVEG_1kg,171.5,4,9,2017,South-West Monsoon Season
BeetRoot_UPCVEG_1kg,140.5,4,9,2017,South-West Monsoon Season
Carrot_UPCVEG_1kg,173.46,4,9,2017,South-West Monsoon Season
Green_Chillies_LCVEG_1kg,533.24,1,10,2017,Second Inter-monsoon Season
Leeks_UPCVEG_1kg,180.57,1,10,2017,Second Inter-monsoon Season
BeetRoot_UPCVEG_1kg,147.18,1,10,2017,Second Inter-monsoon Season
Carrot_UPCVEG_1kg,169.5,1,10,2017,Second Inter-monsoon Season
Green_Chillies_LCVEG_1kg,535.95,2,10,2017,Second Inter-monsoon Season
Leeks_UPCVEG_1kg,198.86,2,10,2017,Second Inter-monsoon Season
BeetRoot_UPCVEG_1kg,147.33,2,10,2017,Second Inter-monsoon Season
Carrot_UPCVEG_1kg,178.44,2,10,2017,Second Inter-monsoon Season
Green_Chillies_LCVEG_1kg,535.95,3,10,2017,Second Inter-monsoon Season
Leeks_UPCVEG_1kg,194.48,3,10,2017,Second Inter-monsoon Season
BeetRoot_UPCVEG_1kg,143.21,3,10,2017,Second Inter-monsoon Season
Carrot_UPCVEG_1kg,186.34,3,10,2017,Second Inter-monsoon Season
Green_Chillies_LCVEG_1kg,621.72,4,10,2017,Second Inter-monsoon Season
Leeks_UPCVEG_1kg,205.26,4,10,2017,Second Inter-monsoon Season
BeetRoot_UPCVEG_1kg,155.43,4,10,2017,Second Inter-monsoon Season
Carrot_UPCVEG_1kg,202.05,4,10,2017,Second Inter-monsoon Season
Green_Chillies_LCVEG_1kg,766.67,1,11,2017,Second Inter-monsoon Season
Leeks_UPCVEG_1kg,238.89,1,11,2017,Second Inter-monsoon Season
BeetRoot_UPCVEG_1kg,151.16,1,11,2017,Second Inter-monsoon Season
Carrot_UPCVEG_1kg,216.1,1,11,2017,Second Inter-monsoon Season
Green_Chillies_LCVEG_1kg,752.0,2,11,2017,Second Inter-monsoon Season
Leeks_UPCVEG_1kg,236.76,2,11,2017,Second Inter-monsoon Season
BeetRoot_UPCVEG_1kg,158.56,2,11,2017,Second Inter-monsoon Season
Carrot_UPCVEG_1kg,221.46,2,11,2017,Second Inter-monsoon Season
Green_Chillies_LCVEG_1kg,958.59,3,11,2017,Second Inter-monsoon Season
Leeks_UPCVEG_1kg,267.5,3,11,2017,Second Inter-monsoon Season
BeetRoot_UPCVEG_1kg,190.91,3,11,2017,Second Inter-monsoon Season
Carrot_UPCVEG_1kg,242.67,3,11,2017,Second Inter-monsoon Season
Green_Chillies_LCVEG_1kg,960.49,4,11,2017,Second Inter-monsoon Season
