Date,"Buy Rate","Sell Rate"
2022-04-11,316.7950,327.4999
2022-04-08,310.8802,321.4971
2022-04-07,309.3802,319.9971
2022-04-06,298.1064,308.4951
2022-04-05,293.2305,303.4964
2022-04-04,289.7255,299.9914
2022-04-01,289.2425,299.4908
2022-03-31,288.7475,298.9958
2022-03-30,288.7475,298.9958
2022-03-29,288.7475,298.9958
2022-03-28,288.7475,298.9958
2022-03-25,284.8205,294.9987
2022-03-24,279.9056,289.9960
2022-03-23,274.9957,284.9983
2022-03-22,272.0686,282.4956
2022-03-21,264.6677,274.9979
2022-03-18,264.6677,274.9979
2022-03-16,264.6677,274.9979
2022-03-15,259.7620,269.9952
2022-03-14,249.9603,259.9999
2022-03-11,249.9603,259.9999
2022-03-10,249.9603,259.9999
2022-03-09,225.2013,229.9987
2022-03-08,225.2013,229.9987
2022-03-07,198.5008,202.9992
2022-03-04,198.5008,202.9992
2022-03-03,198.5008,202.9992
2022-03-02,198.5008,202.9992
2022-02-28,198.5008,202.9992
2022-02-25,198.5008,202.9992
2022-02-24,198.5008,202.9992
2022-02-23,198.5008,202.9992
2022-02-22,198.5008,202.9992
2022-02-21,198.5008,202.9992
2022-02-18,198.5008,202.9992
2022-02-17,198.5008,202.9992
2022-02-15,198.5008,202.9992
2022-02-14,198.5008,202.9992
2022-02-11,198.5008,202.9992
2022-02-10,198.5008,202.9992
2022-02-09,198.5008,202.9992
2022-02-08,198.5008,202.9992
2022-02-07,198.5008,202.9992
2022-02-03,198.5008,202.9992
2022-02-02,198.5008,202.9992
2022-02-01,198.5008,202.9992
2022-01-31,198.5008,202.9992
2022-01-28,198.5008,202.9992
2022-01-27,198.5008,202.9992
2022-01-26,198.5008,202.9992
2022-01-25,198.5008,202.9992
2022-01-24,198.5008,202.9992
2022-01-21,198.5008,202.9992
2022-01-20,198.5008,202.9992
2022-01-19,198.5008,202.9992
2022-01-18,198.5008,202.9992
2022-01-13,198.5008,202.9992
2022-01-12,198.5008,202.9992
2022-01-11,198.5008,202.9992
2022-01-10,198.5008,202.9992
2022-01-07,198.5008,202.9992
2022-01-06,198.5008,202.9992
2022-01-05,198.5008,202.9992
2022-01-04,198.5008,202.9992
2022-01-03,198.5008,202.9992
2021-12-31,198.5008,202.9992
2021-12-30,198.5008,202.9992
2021-12-29,198.5008,202.9992
2021-12-28,198.5008,202.9992
2021-12-27,198.5008,202.9992
2021-12-24,198.5008,202.9992
2021-12-23,198.5008,202.9992
2021-12-22,198.5008,202.9992
2021-12-21,198.5008,202.9992
