Name,Price,Week,Month,Year
Local Potatoes 1Kg,175.16,1,9,2018
Imported Potatoes 1Kg,112.62,1,9,2018
Carrot 1kg,300.8,1,9,2018
Tomatoe No1. 1kg,83.72,1,9,2018
Leeks 1kg,141.05,2,9,2018
Local Potatoes 1Kg,174.26,2,9,2018
Imported Potatoes 1Kg,112.32,2,9,2018
Carrot 1kg,297.5,2,9,2018
Tomatoe No1. 1kg,74.81,2,9,2018
Leeks 1kg,142.05,3,9,2018
Local Potatoes 1Kg,159.35,3,9,2018
Imported Potatoes 1Kg,106.83,3,9,2018
Carrot 1kg,271.33,3,9,2018
Tomatoe No1. 1kg,74.47,3,9,2018
Leeks 1kg,144.44,4,9,2018
Local Potatoes 1Kg,151.41,4,9,2018
Imported Potatoes 1Kg,109.44,4,9,2018
Carrot 1kg,218.86,4,9,2018
Tomatoe No1. 1kg,78.89,4,9,2018
Leeks 1kg,145.14,1,10,2018
Local Potatoes 1Kg,145.0,1,10,2018
Imported Potatoes 1Kg,106.67,1,10,2018
Carrot 1kg,210.86,1,10,2018
Tomatoe No1. 1kg,78.89,1,10,2018
Leeks 1kg,143.08,2,10,2018
Local Potatoes 1Kg,148.15,2,10,2018
Imported Potatoes 1Kg,105.42,2,10,2018
Carrot 1kg,199.75,2,10,2018
Tomatoe No1. 1kg,100.13,2,10,2018
Leeks 1kg,160.0,3,10,2018
Local Potatoes 1Kg,142.76,3,10,2018
Imported Potatoes 1Kg,107.14,3,10,2018
Carrot 1kg,225.64,3,10,2018
Tomatoe No1. 1kg,146.9,3,10,2018
Leeks 1kg,162.79,4,10,2018
Local Potatoes 1Kg,141.44,4,10,2018
Imported Potatoes 1Kg,107.73,4,10,2018
Carrot 1kg,228.11,4,10,2018
Tomatoe No1. 1kg,175.43,4,10,2018
Leeks 1kg,217.33,1,11,2018
Local Potatoes 1Kg,170.0,1,11,2018
Imported Potatoes 1Kg,115.91,1,11,2018
Carrot 1kg,322.19,1,11,2018
Tomatoe No1. 1kg,281.94,1,11,2018
Leeks 1kg,234.68,2,11,2018
Local Potatoes 1Kg,186.14,2,11,2018
Imported Potatoes 1Kg,124.76,2,11,2018
Carrot 1kg,348.65,2,11,2018
Tomatoe No1. 1kg,377.65,2,11,2018
Leeks 1kg,274.11,3,11,2018
Local Potatoes 1Kg,183.04,3,11,2018
Imported Potatoes 1Kg,122.73,3,11,2018
Carrot 1kg,334.87,3,11,2018
Tomatoe No1. 1kg,366.91,3,11,2018
Leeks 1kg,274.89,4,11,2018
Local Potatoes 1Kg,182.8,4,11,2018
Imported Potatoes 1Kg,121.48,4,11,2018
Carrot 1kg,353.33,4,11,2018
Tomatoe No1. 1kg,374.37,4,11,2018
Leeks 1kg,281.7,1,12,2018
Local Potatoes 1Kg,185.0,1,12,2018
Imported Potatoes 1Kg,121.74,1,12,2018
Carrot 1kg,357.06,1,12,2018
Tomatoe No1. 1kg,377.83,1,12,2018
Leeks 1kg,251.0,2,12,2018
Local Potatoes 1Kg,182.17,2,12,2018
Imported Potatoes 1Kg,121.0,2,12,2018
Carrot 1kg,272.94,2,12,2018
Tomatoe No1. 1kg,378.28,2,12,2018
Leeks 1kg,240.98,3,12,2018
Local Potatoes 1Kg,184.4,3,12,2018
Imported Potatoes 1Kg,129.17,3,12,2018
Carrot 1kg,243.41,3,12,2018
Tomatoe No1. 1kg,367.89,3,12,2018
Leeks 1kg,237.21,4,12,2018
Local Potatoes 1Kg,176.3,4,12,2018
Imported Potatoes 1Kg,124.29,4,12,2018
Carrot 1kg,210.81,4,12,2018
Tomatoe No1. 1kg,231.49,4,12,2018
Leeks 1kg,213.51,1,1,2019
Local Potatoes 1Kg,168.26,1,1,2019
Imported Potatoes 1Kg,106.94,1,1,2019
Carrot 1kg,195.68,1,1,2019
Tomatoe No1. 1kg,182.5,1,1,2019
Leeks 1kg,178.42,2,1,2019
Local Potatoes 1Kg,173.33,2,1,2019
Imported Potatoes 1Kg,97.22,2,1,2019
Carrot 1kg,184.21,2,1,2019
Tomatoe No1. 1kg,149.14,2,1,2019
Leeks 1kg,178.59,3,1,2019
Local Potatoes 1Kg,180.42,3,1,2019
Imported Potatoes 1Kg,87.83,3,1,2019
Carrot 1kg,174.32,3,1,2019
Tomatoe No1. 1kg,145.53,3,1,2019
Leeks 1kg,176.1,4,1,2019
Local Potatoes 1Kg,184.44,4,1,2019
Imported Potatoes 1Kg,87.1,4,1,2019
Carrot 1kg,175.45,4,1,2019
Tomatoe No1. 1kg,134.95,4,1,2019
Leeks 1kg,168.11,1,2,2019
Local Potatoes 1Kg,178.24,1,2,2019
Imported Potatoes 1Kg,90.32,1,2,2019
Carrot 1kg,173.95,1,2,2019
Tomatoe No1. 1kg,132.32,1,2,2019
Leeks 1kg,144.21,2,2,2019
Local Potatoes 1Kg,169.17,2,2,2019
Imported Potatoes 1Kg,100.56,2,2,2019
